,artist,auth,firstName,gender,itemInSession,lastName,length,level,location,method,page,registration,sessionId,song,status,ts,userId
776,Blue Man Group,Logged In,Aleena,F,13,Kirby,386.53342,paid,"Waterloo-Cedar Falls, IA",PUT,NextSong,1541020000000.0,639,The Complex,200,1542720000000.0,44.0
777,At Vance,Logged In,Aleena,F,14,Kirby,201.82159,paid,"Waterloo-Cedar Falls, IA",PUT,NextSong,1541020000000.0,639,Heart Of Steel,200,1542720000000.0,44.0
778,Wim Mertens,Logged In,Aleena,F,15,Kirby,289.88036,paid,"Waterloo-Cedar Falls, IA",PUT,NextSong,1541020000000.0,639,Houfnice,200,1542720000000.0,44.0
779,Beirut,Logged In,Aleena,F,16,Kirby,142.31465,paid,"Waterloo-Cedar Falls, IA",PUT,NextSong,1541020000000.0,639,The Penalty,200,1542720000000.0,44.0
780,Jonathan Edwards,Logged In,Aleena,F,17,Kirby,238.39302,paid,"Waterloo-Cedar Falls, IA",PUT,NextSong,1541020000000.0,639,Longest Ride (LP Version ),200,1542720000000.0,44.0
781,Shout Out Louds,Logged In,Aleena,F,18,Kirby,215.97995,paid,"Waterloo-Cedar Falls, IA",PUT,NextSong,1541020000000.0,639,There's Nothing,200,1542720000000.0,44.0
782,,Logged In,Kaylee,F,0,Summers,,free,"Phoenix-Mesa-Scottsdale, AZ",GET,Home,1540340000000.0,705,,200,1542720000000.0,8.0
783,John Mayer,Logged In,Kaylee,F,1,Summers,255.11138,free,"Phoenix-Mesa-Scottsdale, AZ",PUT,NextSong,1540340000000.0,705,War Of My Life,200,1542720000000.0,8.0
784,Los Campesinos!,Logged In,Aleena,F,19,Kirby,119.11791,paid,"Waterloo-Cedar Falls, IA",PUT,NextSong,1541020000000.0,639,(PLAN A),200,1542720000000.0,44.0
785,Scissor Sisters,Logged In,Aleena,F,20,Kirby,271.85587,paid,"Waterloo-Cedar Falls, IA",PUT,NextSong,1541020000000.0,639,Take Your Mama,200,1542720000000.0,44.0
786,Kid Cudi Vs Crookers,Logged In,Aleena,F,21,Kirby,162.97751,paid,"Waterloo-Cedar Falls, IA",PUT,NextSong,1541020000000.0,639,Day 'N' Nite,200,1542720000000.0,44.0
787,Ana Torroja,Logged In,Aleena,F,22,Kirby,311.66649,paid,"Waterloo-Cedar Falls, IA",PUT,NextSong,1541020000000.0,639,Un AÃÂ±o Mas,200,1542720000000.0,44.0
788,,Logged In,Aleena,F,23,Kirby,,paid,"Waterloo-Cedar Falls, IA",GET,Home,1541020000000.0,639,,200,1542720000000.0,44.0
789,John Mayer,Logged In,Aleena,F,24,Kirby,250.38322,paid,"Waterloo-Cedar Falls, IA",PUT,NextSong,1541020000000.0,639,Half Of My Heart,200,1542720000000.0,44.0
790,Lyle Mays,Logged In,Kinsley,F,0,Young,240.97914,paid,"Red Bluff, CA",PUT,NextSong,1540470000000.0,759,This Moment (Album Version),200,1542720000000.0,85.0
791,Beenie Man,Logged In,Aleena,F,25,Kirby,230.03383,paid,"Waterloo-Cedar Falls, IA",PUT,NextSong,1541020000000.0,639,Girls Dem Sugar,200,1542720000000.0,44.0
792,The-Dream / Fabolous,Logged In,Kinsley,F,1,Young,262.81751,paid,"Red Bluff, CA",PUT,NextSong,1540470000000.0,759,Shawty Is Da Sh*!,200,1542720000000.0,85.0
793,Soul II Soul,Logged In,Aleena,F,26,Kirby,239.67302,paid,"Waterloo-Cedar Falls, IA",PUT,NextSong,1541020000000.0,639,How Long,200,1542730000000.0,44.0
794,Arcade Fire,Logged In,Kinsley,F,2,Young,169.19465,paid,"Red Bluff, CA",PUT,NextSong,1540470000000.0,759,I'm Sleeping In A Submarine,200,1542730000000.0,85.0
795,Kansas,Logged In,Aleena,F,27,Kirby,233.03791,paid,"Waterloo-Cedar Falls, IA",PUT,NextSong,1541020000000.0,639,Hold On,200,1542730000000.0,44.0
796,Snow Patrol,Logged In,Kinsley,F,3,Young,223.18975,paid,"Red Bluff, CA",PUT,NextSong,1540470000000.0,759,Set Down Your Glass,200,1542730000000.0,85.0
797,Taylor Swift,Logged In,Aleena,F,28,Kirby,224.9922,paid,"Waterloo-Cedar Falls, IA",PUT,NextSong,1541020000000.0,639,Forever & Always,200,1542730000000.0,44.0
798,Kylie Minogue,Logged In,Kinsley,F,4,Young,271.3073,paid,"Red Bluff, CA",PUT,NextSong,1540470000000.0,759,Come Into My World,200,1542730000000.0,85.0
799,Paulina Rubio,Logged In,Aleena,F,29,Kirby,174.31465,paid,"Waterloo-Cedar Falls, IA",PUT,NextSong,1541020000000.0,639,Un Dia Gris,200,1542730000000.0,44.0
800,Andrew Bird,Logged In,Kinsley,F,5,Young,252.31628,paid,"Red Bluff, CA",PUT,NextSong,1540470000000.0,759,Fiery Crash,200,1542730000000.0,85.0
801,The Rapture,Logged In,Aleena,F,30,Kirby,323.47383,paid,"Waterloo-Cedar Falls, IA",PUT,NextSong,1541020000000.0,639,Open Up Your Heart,200,1542730000000.0,44.0
802,Horkyze Slyze,Logged In,Kinsley,F,6,Young,124.44689,paid,"Red Bluff, CA",PUT,NextSong,1540470000000.0,759,Fakty,200,1542730000000.0,85.0
803,The Killers,Logged In,Aleena,F,31,Kirby,220.89098,paid,"Waterloo-Cedar Falls, IA",PUT,NextSong,1541020000000.0,639,When You Were Young,200,1542730000000.0,44.0
804,Jason Mraz,Logged In,Kinsley,F,7,Young,252.39465,paid,"Red Bluff, CA",PUT,NextSong,1540470000000.0,759,Live High (Album Version),200,1542730000000.0,85.0
805,Lady GaGa,Logged In,Aleena,F,32,Kirby,263.33995,paid,"Waterloo-Cedar Falls, IA",PUT,NextSong,1541020000000.0,639,Paper Gangsta,200,1542730000000.0,44.0
806,Hans Zimmer_ James Newton Howard,Logged In,Kinsley,F,8,Young,265.50812,paid,"Red Bluff, CA",PUT,NextSong,1540470000000.0,759,Nycteris,200,1542730000000.0,85.0
807,Soltero,Logged In,Aleena,F,33,Kirby,191.7122,paid,"Waterloo-Cedar Falls, IA",PUT,NextSong,1541020000000.0,639,Step Through The Door,200,1542730000000.0,44.0
808,Blur,Logged In,Aleena,F,34,Kirby,237.03465,paid,"Waterloo-Cedar Falls, IA",PUT,NextSong,1541020000000.0,639,Country House,200,1542730000000.0,44.0
809,Carlton Livingston_ Shabba Ranks,Logged In,Aleena,F,35,Kirby,226.32444,paid,"Waterloo-Cedar Falls, IA",PUT,NextSong,1541020000000.0,639,Rumours,200,1542730000000.0,44.0
810,Finger Eleven,Logged In,Aleena,F,36,Kirby,208.1171,paid,"Waterloo-Cedar Falls, IA",PUT,NextSong,1541020000000.0,639,Paralyzer,200,1542730000000.0,44.0
811,Elbee Bad,Logged In,Aleena,F,37,Kirby,254.53669,paid,"Waterloo-Cedar Falls, IA",PUT,NextSong,1541020000000.0,639,Dream On! New Age Of Faith / Smokebelch,200,1542730000000.0,44.0
812,Boney James,Logged In,Molly,F,0,Taylor,327.3922,free,"St. Louis, MO-IL",PUT,NextSong,1540990000000.0,740,Seduction (Album Version),200,1542730000000.0,35.0
813,Sauce Money Featuring Memphis Bleek,Logged In,Aleena,F,38,Kirby,280.21506,paid,"Waterloo-Cedar Falls, IA",PUT,NextSong,1541020000000.0,639,What We Do (Explicit) (Feat. Memphis Bleek),200,1542730000000.0,44.0
814,Toy Matinee,Logged In,Aleena,F,39,Kirby,297.19465,paid,"Waterloo-Cedar Falls, IA",PUT,NextSong,1541020000000.0,639,Things She Said,200,1542730000000.0,44.0
815,Markus KrunegÃÂ¥rd,Logged In,Aleena,F,40,Kirby,256.93995,paid,"Waterloo-Cedar Falls, IA",PUT,NextSong,1541020000000.0,639,Jag ÃÂ¤r en vampyr,200,1542730000000.0,44.0
816,,Logged In,Adler,M,0,Barrera,,free,"New York-Newark-Jersey City, NY-NJ-PA",GET,Home,1540840000000.0,595,,200,1542730000000.0,100.0
817,The Mountain Goats,Logged In,Aleena,F,41,Kirby,222.74567,paid,"Waterloo-Cedar Falls, IA",PUT,NextSong,1541020000000.0,639,Heretic Pride,200,1542730000000.0,44.0
818,Modest Mouse,Logged In,Sienna,F,0,Colon,209.52771,free,"Las Cruces, NM",PUT,NextSong,1540010000000.0,386,Float On,200,1542730000000.0,81.0
819,Emiliana Torrini,Logged In,Aleena,F,42,Kirby,184.29342,paid,"Waterloo-Cedar Falls, IA",PUT,NextSong,1541020000000.0,639,Sunny Road,200,1542730000000.0,44.0
820,Habib KoitÃÂ©,Logged In,Sienna,F,1,Colon,305.71057,free,"Las Cruces, NM",PUT,NextSong,1540010000000.0,386,Baro,200,1542730000000.0,81.0
821,Lonnie Gordon,Logged In,Adler,M,1,Barrera,181.21098,free,"New York-Newark-Jersey City, NY-NJ-PA",PUT,NextSong,1540840000000.0,595,Catch You Baby (Steve Pitron & Max Sanna Radio Edit),200,1542730000000.0,100.0
822,Busdriver,Logged In,Aleena,F,43,Kirby,202.16118,paid,"Waterloo-Cedar Falls, IA",PUT,NextSong,1541020000000.0,639,The Troglodyte Wins,200,1542730000000.0,44.0
823,SOJA,Logged In,Sienna,F,2,Colon,285.25669,free,"Las Cruces, NM",PUT,NextSong,1540010000000.0,386,Rasta Courage,200,1542730000000.0,81.0
824,Mike And The Mechanics,Logged In,Aleena,F,44,Kirby,275.12118,paid,"Waterloo-Cedar Falls, IA",PUT,NextSong,1541020000000.0,639,A Beggar On A Beach Of Gold,200,1542730000000.0,44.0
825,Evanescence,Logged In,Aleena,F,45,Kirby,224.10404,paid,"Waterloo-Cedar Falls, IA",PUT,NextSong,1541020000000.0,639,Lithium,200,1542730000000.0,44.0
826,Justin Bieber,Logged In,Aleena,F,46,Kirby,229.0673,paid,"Waterloo-Cedar Falls, IA",PUT,NextSong,1541020000000.0,639,One Less Lonely Girl,200,1542730000000.0,44.0
827,Brandon Heath,Logged In,Aleena,F,47,Kirby,232.69832,paid,"Waterloo-Cedar Falls, IA",PUT,NextSong,1541020000000.0,639,Give Me Your Eyes,200,1542730000000.0,44.0
828,,Logged In,Aleena,F,48,Kirby,,paid,"Waterloo-Cedar Falls, IA",GET,Settings,1541020000000.0,639,,200,1542730000000.0,44.0
829,,Logged In,Aleena,F,49,Kirby,,paid,"Waterloo-Cedar Falls, IA",PUT,Save Settings,1541020000000.0,639,,307,1542730000000.0,44.0
830,,Logged In,Aleena,F,50,Kirby,,paid,"Waterloo-Cedar Falls, IA",GET,Home,1541020000000.0,639,,200,1542730000000.0,44.0
831,Samael,Logged In,Lily,F,0,Burns,221.33506,free,"New York-Newark-Jersey City, NY-NJ-PA",PUT,NextSong,1540620000000.0,756,Under One Flag,200,1542730000000.0,32.0
832,Steve Bug,Logged In,Aleena,F,51,Kirby,438.67383,paid,"Waterloo-Cedar Falls, IA",PUT,NextSong,1541020000000.0,639,Smackman,200,1542730000000.0,44.0
833,Guns N' Roses,Logged In,Aleena,F,52,Kirby,208.48281,paid,"Waterloo-Cedar Falls, IA",PUT,NextSong,1541020000000.0,639,Down On The Farm,200,1542730000000.0,44.0
834,New Boyz,Logged In,Aleena,F,53,Kirby,178.80771,paid,"Waterloo-Cedar Falls, IA",PUT,NextSong,1541020000000.0,639,Tie Me Down [feat. Ray J] (Amended Album Version),200,1542730000000.0,44.0
835,Train,Logged In,Aleena,F,54,Kirby,216.76363,paid,"Waterloo-Cedar Falls, IA",PUT,NextSong,1541020000000.0,639,Hey_ Soul Sister,200,1542730000000.0,44.0
836,,Logged Out,,,0,,,paid,,PUT,Login,,758,,307,1542730000000.0,
837,Randy Crawford,Logged In,Aleena,F,55,Kirby,270.75873,paid,"Waterloo-Cedar Falls, IA",PUT,NextSong,1541020000000.0,639,Almaz,200,1542730000000.0,44.0
838,Cro-Mags,Logged In,Jacob,M,0,Rogers,206.99383,free,"San Diego-Carlsbad, CA",PUT,NextSong,1540980000000.0,459,Eyes Of Tomorrow,200,1542730000000.0,18.0
839,Animal Collective,Logged In,Ryan,M,0,Smith,322.0371,free,"San Jose-Sunnyvale-Santa Clara, CA",PUT,NextSong,1541020000000.0,767,In The Flowers,200,1542730000000.0,26.0
840,,Logged In,Ryan,M,1,Smith,,free,"San Jose-Sunnyvale-Santa Clara, CA",GET,Home,1541020000000.0,767,,200,1542730000000.0,26.0
841,,Logged In,Chloe,F,1,Cuevas,,paid,"San Francisco-Oakland-Hayward, CA",GET,Home,1540940000000.0,758,,200,1542730000000.0,49.0
842,Marisa Monte,Logged In,Chloe,F,2,Cuevas,290.95138,paid,"San Francisco-Oakland-Hayward, CA",PUT,NextSong,1540940000000.0,758,O Xote Das Meninas/Asa Branca/Hino A Sao Jose,200,1542730000000.0,49.0
843,Hollywood Undead,Logged In,Chloe,F,3,Cuevas,210.52036,paid,"San Francisco-Oakland-Hayward, CA",PUT,NextSong,1540940000000.0,758,Everywhere I Go,200,1542730000000.0,49.0
844,JosÃÂ© GonzÃÂ¡lez,Logged In,Chloe,F,4,Cuevas,162.97751,paid,"San Francisco-Oakland-Hayward, CA",PUT,NextSong,1540940000000.0,758,Crosses,200,1542730000000.0,49.0
845,Tom Petty And The Heartbreakers,Logged In,Chloe,F,5,Cuevas,241.52771,paid,"San Francisco-Oakland-Hayward, CA",PUT,NextSong,1540940000000.0,758,Learning To Fly,200,1542730000000.0,49.0
846,Sara Bareilles,Logged In,Chloe,F,6,Cuevas,233.37751,paid,"San Francisco-Oakland-Hayward, CA",PUT,NextSong,1540940000000.0,758,Gravity,200,1542740000000.0,49.0
847,,Logged In,Tucker,M,0,Garrison,,free,"Oxnard-Thousand Oaks-Ventura, CA",GET,Home,1540830000000.0,730,,200,1542740000000.0,40.0
848,Asian Dub Foundation,Logged In,Chloe,F,7,Cuevas,264.69832,paid,"San Francisco-Oakland-Hayward, CA",PUT,NextSong,1540940000000.0,758,Rise To The Challenge,200,1542740000000.0,49.0
849,Cast Of Camp Rock,Logged In,Ayla,F,0,Johnson,190.71955,free,"Santa Rosa, CA",PUT,NextSong,1540880000000.0,729,We Rock,200,1542740000000.0,63.0
850,The Killers,Logged In,Chloe,F,8,Cuevas,287.73832,paid,"San Francisco-Oakland-Hayward, CA",PUT,NextSong,1540940000000.0,758,All The Pretty Faces,200,1542740000000.0,49.0
851,Yung Berg feat. Young Jeezy & Ludacris,Logged In,Ayla,F,1,Johnson,177.162,free,"Santa Rosa, CA",PUT,NextSong,1540880000000.0,729,285 (feat. Young Jeezy & Ludacris),200,1542740000000.0,63.0
852,Sin Bandera,Logged In,Ayla,F,2,Johnson,252.78649,free,"Santa Rosa, CA",PUT,NextSong,1540880000000.0,729,Si Me Besas,200,1542740000000.0,63.0
853,Black Eyed Peas,Logged In,Chloe,F,9,Cuevas,229.61587,paid,"San Francisco-Oakland-Hayward, CA",PUT,NextSong,1540940000000.0,758,Let's Get It Started,200,1542740000000.0,49.0
854,OneRepublic,Logged In,Ayla,F,3,Johnson,208.14322,free,"Santa Rosa, CA",PUT,NextSong,1540880000000.0,729,Apologize,200,1542740000000.0,63.0
855,Charlie Louvin,Logged In,Chloe,F,10,Cuevas,170.86649,paid,"San Francisco-Oakland-Hayward, CA",PUT,NextSong,1540940000000.0,758,I Think I'll Live,200,1542740000000.0,49.0
856,Ill Nino,Logged In,Chloe,F,11,Cuevas,202.57914,paid,"San Francisco-Oakland-Hayward, CA",PUT,NextSong,1540940000000.0,758,Unframed (Album Version),200,1542740000000.0,49.0
857,Coldplay,Logged In,Chloe,F,12,Cuevas,294.1122,paid,"San Francisco-Oakland-Hayward, CA",PUT,NextSong,1540940000000.0,758,Fix You,200,1542740000000.0,49.0
858,Kansas,Logged In,Chloe,F,13,Cuevas,275.9571,paid,"San Francisco-Oakland-Hayward, CA",PUT,NextSong,1540940000000.0,758,Carry On Wayward Son,200,1542740000000.0,49.0
859,,Logged In,Lily,F,0,Burns,,free,"New York-Newark-Jersey City, NY-NJ-PA",GET,Home,1540620000000.0,780,,200,1542740000000.0,32.0
860,Kurtis Blow,Logged In,Colm,M,0,Santana,353.88036,free,"Nashville-Davidson--Murfreesboro--Franklin, TN",PUT,NextSong,1540860000000.0,722,The Breaks,200,1542740000000.0,67.0
861,Chromeo,Logged In,Sylvie,F,0,Cruz,171.57179,free,"Washington-Arlington-Alexandria, DC-VA-MD-WV",PUT,NextSong,1540270000000.0,717,Momma's Boy,200,1542740000000.0,10.0
862,Beach House,Logged In,Chloe,F,14,Cuevas,322.71628,paid,"San Francisco-Oakland-Hayward, CA",PUT,NextSong,1540940000000.0,758,Walk In The Park,200,1542740000000.0,49.0
863,BeyoncÃÂ©,Logged In,Chloe,F,15,Cuevas,236.35546,paid,"San Francisco-Oakland-Hayward, CA",PUT,NextSong,1540940000000.0,758,Ego,200,1542740000000.0,49.0
864,Kid Cudi / MGMT / Ratatat,Logged In,Chloe,F,16,Cuevas,295.67955,paid,"San Francisco-Oakland-Hayward, CA",PUT,NextSong,1540940000000.0,758,Pursuit Of Happiness (nightmare),200,1542740000000.0,49.0
865,Erin McKeown,Logged In,Chloe,F,17,Cuevas,292.75383,paid,"San Francisco-Oakland-Hayward, CA",PUT,NextSong,1540940000000.0,758,Daisy And Prudence,200,1542740000000.0,49.0
866,Andres Calamaro,Logged In,Chloe,F,18,Cuevas,263.83628,paid,"San Francisco-Oakland-Hayward, CA",PUT,NextSong,1540940000000.0,758,Los Aviones,200,1542740000000.0,49.0
867,Akon,Logged In,Chloe,F,19,Cuevas,253.77914,paid,"San Francisco-Oakland-Hayward, CA",PUT,NextSong,1540940000000.0,758,Freedom,200,1542740000000.0,49.0
868,Los Bunkers,Logged In,Chloe,F,20,Cuevas,217.83465,paid,"San Francisco-Oakland-Hayward, CA",PUT,NextSong,1540940000000.0,758,Ven AquÃÂ­,200,1542740000000.0,49.0
869,Steely Dan,Logged In,Chloe,F,21,Cuevas,273.94567,paid,"San Francisco-Oakland-Hayward, CA",PUT,NextSong,1540940000000.0,758,Reelin' In The Years,200,1542740000000.0,49.0
870,Aterciopelados,Logged In,Chloe,F,22,Cuevas,169.45587,paid,"San Francisco-Oakland-Hayward, CA",PUT,NextSong,1540940000000.0,758,Complemento,200,1542740000000.0,49.0
871,,Logged In,Chloe,F,23,Cuevas,,paid,"San Francisco-Oakland-Hayward, CA",GET,Settings,1540940000000.0,758,,200,1542740000000.0,49.0
872,,Logged In,Chloe,F,24,Cuevas,,paid,"San Francisco-Oakland-Hayward, CA",PUT,Save Settings,1540940000000.0,758,,307,1542740000000.0,49.0
873,,Logged In,Chloe,F,25,Cuevas,,paid,"San Francisco-Oakland-Hayward, CA",GET,Home,1540940000000.0,758,,200,1542740000000.0,49.0
874,The Avett Brothers,Logged In,Chloe,F,26,Cuevas,291.36934,paid,"San Francisco-Oakland-Hayward, CA",PUT,NextSong,1540940000000.0,758,Laundry Room,200,1542740000000.0,49.0
875,Metallica,Logged In,Chloe,F,27,Cuevas,284.86485,paid,"San Francisco-Oakland-Hayward, CA",PUT,NextSong,1540940000000.0,758,Fight Fire With Fire,200,1542740000000.0,49.0
876,Rihanna,Logged In,Chloe,F,28,Cuevas,208.40444,paid,"San Francisco-Oakland-Hayward, CA",PUT,NextSong,1540940000000.0,758,Te Amo,200,1542740000000.0,49.0
877,,Logged In,Ryan,M,0,Smith,,free,"San Jose-Sunnyvale-Santa Clara, CA",GET,Home,1541020000000.0,783,,200,1542740000000.0,26.0
878,Sepultura,Logged In,Chloe,F,29,Cuevas,238.62812,paid,"San Francisco-Oakland-Hayward, CA",PUT,NextSong,1540940000000.0,758,More Of The Same,200,1542740000000.0,49.0
879,Fate,Logged In,Ryan,M,1,Smith,290.58567,free,"San Jose-Sunnyvale-Santa Clara, CA",PUT,NextSong,1541020000000.0,783,(I Can't Stand) Losing You (2004 Digital Remaster),200,1542740000000.0,26.0
880,Stone Temple Pilots,Logged In,Chloe,F,30,Cuevas,155.24526,paid,"San Francisco-Oakland-Hayward, CA",PUT,NextSong,1540940000000.0,758,Days Of The Week (Album Version),200,1542740000000.0,49.0
881,Sean Kingston and Justin Bieber,Logged In,Ryan,M,2,Smith,201.9522,free,"San Jose-Sunnyvale-Santa Clara, CA",PUT,NextSong,1541020000000.0,783,Eenie Meenie,200,1542740000000.0,26.0
882,Iron Maiden,Logged In,Chloe,F,31,Cuevas,233.76934,paid,"San Francisco-Oakland-Hayward, CA",PUT,NextSong,1540940000000.0,758,Run To The Hills (1998 Digital Remaster),200,1542740000000.0,49.0
883,Blackalicious,Logged In,Chloe,F,32,Cuevas,206.36689,paid,"San Francisco-Oakland-Hayward, CA",PUT,NextSong,1540940000000.0,758,Make You Feel That Way,200,1542740000000.0,49.0
884,,Logged In,Kinsley,F,0,Young,,paid,"Red Bluff, CA",GET,Home,1540470000000.0,776,,200,1542740000000.0,85.0
885,,Logged In,Kinsley,F,1,Young,,paid,"Red Bluff, CA",GET,Settings,1540470000000.0,776,,200,1542740000000.0,85.0
886,Deftones,Logged In,Kinsley,F,2,Young,372.97587,paid,"Red Bluff, CA",PUT,NextSong,1540470000000.0,776,Head Up (LP Version),200,1542740000000.0,85.0
887,Destiny's Child,Logged In,Chloe,F,33,Cuevas,271.33342,paid,"San Francisco-Oakland-Hayward, CA",PUT,NextSong,1540940000000.0,758,Say My Name,200,1542740000000.0,49.0
888,Cat Stevens,Logged In,Chloe,F,34,Cuevas,167.6273,paid,"San Francisco-Oakland-Hayward, CA",PUT,NextSong,1540940000000.0,758,If You Want To Sing Out_ Sing Out,200,1542740000000.0,49.0
889,The Notorious B.I.G.,Logged In,Kinsley,F,3,Young,239.75138,paid,"Red Bluff, CA",PUT,NextSong,1540470000000.0,776,Playa Hater (Amended Version),200,1542740000000.0,85.0
890,Eminem / Dr. Dre / 50 Cent,Logged In,Chloe,F,35,Cuevas,297.482,paid,"San Francisco-Oakland-Hayward, CA",PUT,NextSong,1540940000000.0,758,Crack A Bottle,200,1542740000000.0,49.0
891,,Logged In,Jayden,M,0,Fox,,free,"New Orleans-Metairie, LA",GET,Home,1541030000000.0,733,,200,1542740000000.0,101.0
892,Orchestral Manoeuvres In The Dark,Logged In,Kinsley,F,4,Young,263.26159,paid,"Red Bluff, CA",PUT,NextSong,1540470000000.0,776,Stay (The Black Rose And The Universal Wheel),200,1542740000000.0,85.0
893,,Logged In,Jayden,M,1,Fox,,free,"New Orleans-Metairie, LA",GET,Settings,1541030000000.0,733,,200,1542740000000.0,101.0
894,,Logged In,Jayden,M,2,Fox,,free,"New Orleans-Metairie, LA",GET,Home,1541030000000.0,733,,200,1542740000000.0,101.0
895,Vangelis,Logged In,Kinsley,F,5,Young,280.21506,paid,"Red Bluff, CA",PUT,NextSong,1540470000000.0,776,Roxane's Veil,200,1542740000000.0,85.0
896,,Logged In,Chloe,F,36,Cuevas,,paid,"San Francisco-Oakland-Hayward, CA",GET,Home,1540940000000.0,758,,200,1542740000000.0,49.0
897,Spandau Ballet,Logged In,Kinsley,F,6,Young,333.63546,paid,"Red Bluff, CA",PUT,NextSong,1540470000000.0,776,TRUE,200,1542740000000.0,85.0
898,,Logged In,Kinsley,F,7,Young,,paid,"Red Bluff, CA",GET,Help,1540470000000.0,776,,200,1542740000000.0,85.0
899,The Pussycat Dolls,Logged In,Kinsley,F,8,Young,197.90322,paid,"Red Bluff, CA",PUT,NextSong,1540470000000.0,776,I'm Done,200,1542740000000.0,85.0
900,The Hollies,Logged In,Kinsley,F,9,Young,252.96934,paid,"Red Bluff, CA",PUT,NextSong,1540470000000.0,776,I'm Down,200,1542740000000.0,85.0
901,Lily Allen,Logged In,Kinsley,F,10,Young,190.95465,paid,"Red Bluff, CA",PUT,NextSong,1540470000000.0,776,LDN,200,1542740000000.0,85.0
902,Fall Out Boy,Logged In,Kinsley,F,11,Young,231.47057,paid,"Red Bluff, CA",PUT,NextSong,1540470000000.0,776,She's My Winona,200,1542740000000.0,85.0
903,,Logged In,Anabelle,F,0,Simpson,,free,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",GET,Home,1541040000000.0,731,,200,1542740000000.0,69.0
904,Metallica,Logged In,Kinsley,F,12,Young,396.40771,paid,"Red Bluff, CA",PUT,NextSong,1540470000000.0,776,The Unforgiven II,200,1542740000000.0,85.0
905,Journey,Logged In,Hannah,F,0,Calhoun,244.06159,free,"Los Angeles-Long Beach-Anaheim, CA",PUT,NextSong,1540580000000.0,410,Loved By You,200,1542740000000.0,64.0
906,O-Zone,Logged In,Kinsley,F,13,Young,213.7073,paid,"Red Bluff, CA",PUT,NextSong,1540470000000.0,776,Dragostea din tin (ma-ya-hi),200,1542750000000.0,85.0
907,The Spinners,Logged In,Chloe,F,37,Cuevas,187.27138,paid,"San Francisco-Oakland-Hayward, CA",PUT,NextSong,1540940000000.0,758,It's A Shame,200,1542750000000.0,49.0
908,Murs,Logged In,Kinsley,F,14,Young,256.7571,paid,"Red Bluff, CA",PUT,NextSong,1540470000000.0,776,Bad Man!,200,1542750000000.0,85.0
909,Navajita Platea,Logged In,Chloe,F,38,Cuevas,261.14567,paid,"San Francisco-Oakland-Hayward, CA",PUT,NextSong,1540940000000.0,758,Desde Mi Azotea (Version JDK),200,1542750000000.0,49.0
910,Basshunter,Logged In,Kinsley,F,15,Young,207.0722,paid,"Red Bluff, CA",PUT,NextSong,1540470000000.0,776,Boten Anna [Radio edit],200,1542750000000.0,85.0
911,Melody Gardot,Logged In,Chloe,F,39,Cuevas,322.97751,paid,"San Francisco-Oakland-Hayward, CA",PUT,NextSong,1540940000000.0,758,Some Lessons,200,1542750000000.0,49.0
912,Maelo Ruiz,Logged In,Kinsley,F,16,Young,292.77995,paid,"Red Bluff, CA",PUT,NextSong,1540470000000.0,776,Te Va A Doler,200,1542750000000.0,85.0
913,Aaliyah,Logged In,Chloe,F,40,Cuevas,289.88036,paid,"San Francisco-Oakland-Hayward, CA",PUT,NextSong,1540940000000.0,758,At Your Best You Are Love,200,1542750000000.0,49.0
914,Dwight Yoakam,Logged In,Kinsley,F,17,Young,239.3073,paid,"Red Bluff, CA",PUT,NextSong,1540470000000.0,776,You're The One,200,1542750000000.0,85.0
915,Coldplay,Logged In,Chloe,F,41,Cuevas,307.51302,paid,"San Francisco-Oakland-Hayward, CA",PUT,NextSong,1540940000000.0,758,Clocks,200,1542750000000.0,49.0
916,Fragma,Logged In,Kinsley,F,18,Young,440.76363,paid,"Red Bluff, CA",PUT,NextSong,1540470000000.0,776,Everytime You Need Me (Pulsedriver Remix) (Instrumental),200,1542750000000.0,85.0
917,Rihanna,Logged In,Chloe,F,42,Cuevas,268.25098,paid,"San Francisco-Oakland-Hayward, CA",PUT,NextSong,1540940000000.0,758,Don't Stop The Music,200,1542750000000.0,49.0
918,Temple Of The Dog,Logged In,Kinsley,F,19,Young,243.9571,paid,"Red Bluff, CA",PUT,NextSong,1540470000000.0,776,Hunger Strike,200,1542750000000.0,85.0
919,Tears For Fears,Logged In,Chloe,F,43,Cuevas,255.34649,paid,"San Francisco-Oakland-Hayward, CA",PUT,NextSong,1540940000000.0,758,Head Over Heels,200,1542750000000.0,49.0
920,Base Ball Bear,Logged In,Kinsley,F,20,Young,255.60771,paid,"Red Bluff, CA",PUT,NextSong,1540470000000.0,776,Sayonara-Nostalgia,200,1542750000000.0,85.0
921,Train,Logged In,Chloe,F,44,Cuevas,234.50077,paid,"San Francisco-Oakland-Hayward, CA",PUT,NextSong,1540940000000.0,758,Skyscraper,200,1542750000000.0,49.0
922,Rufus Wainwright,Logged In,Kinsley,F,21,Young,249.62567,paid,"Red Bluff, CA",PUT,NextSong,1540470000000.0,776,Hallelujah,200,1542750000000.0,85.0
923,Confederate Railroad,Logged In,Chloe,F,45,Cuevas,202.57914,paid,"San Francisco-Oakland-Hayward, CA",PUT,NextSong,1540940000000.0,758,Jesus And Mama (LP Version),200,1542750000000.0,49.0
